상호명,도로명주소,위도,경도
더리터구미,경상북도 구미시 고아읍 문성로3길 16,36.1544991825046,128.34773260942
아틀리에빈진량점,경상북도 경산시 진량읍 다문로 59,35.875275100868,128.817534579273
롬브,경상북도 포항시 남구 중흥로 29,36.0088862688693,129.346674955976
멜로우블랙,경상북도 안동시 강남1길 81,36.5496875137008,128.732743038687
1리터커피다스,경상북도 영천시 중앙동1길 28,35.9731518791293,128.934210618263
셔터룸,경상북도 구미시 봉곡로22길 19,36.153766301957,128.31281066609
킴스마운틴커피클래스,경상북도 안동시 앙실로 57,36.5446057173015,128.696473971871
개미푸드개미food,경상북도 경산시 남매공원로2길 34,35.8322886467574,128.744474560672
해밀랑,경상북도 영주시 영주로161번길 8,36.82592615121,128.617531051422
읍천리구미,경상북도 구미시 봉곡남로 87-1,36.1494425283255,128.311882236864
열두달:)열두달:,경상북도 포항시 북구 월막길 2,36.0491555673213,129.367192525685
컴포즈커피울릉도동점,경상북도 울릉군 울릉읍 도동3길 27,37.4840829911187,130.904853832374
더벤티포항,경상북도 포항시 남구 상도남로 11,36.0081674823371,129.34245879999
카페봄봄옥곡점,경상북도 경산시 경산로 40,35.8139395511397,128.733923572813
빈이커피칠곡석적점,경상북도 칠곡군 석적읍 서중리5길 74,36.075045369562,128.406502938763
카페봄봄경산중방점,경상북도 경산시 중앙로 76-1,35.8228992842124,128.7353008786
슈츠,경상북도 칠곡군 동명면 남원로3길 14,36.0125045323795,128.586984977282
해파랑카페,경상북도 영덕군 강구면 영덕대게로 108,36.3593551701459,129.390302739403
퍼즈커피로스터,경상북도 경주시 봉황로 33-2,35.8426359711885,129.209955268482
화이트리치티카페,경상북도 경산시 압량읍 고분길 28,35.8424210068974,128.757210816976
태담컴퍼니선산휴게소하지점할리스커피,경상북도 구미시 옥성면 중부내륙고속도로 129,36.2752460461178,128.249281691609
카페37.5,경상북도 경산시 한의대로 50,35.8017868973091,128.775998987272
이디야충효서라벌,경상북도 경주시 충효녹지길 58-2,35.8424457363044,129.184725604175
달보드레,경상북도 의성군 의성읍 동서1길 53,36.3499188056157,128.700105999069
히든씨,경상북도 경주시 감포읍 동해안로 2560,35.8294787283,129.512222066538
더뮤즈,경상북도 경주시 공영주택길 39-10,35.8549508357885,129.211404456802
카페101,경상북도 경주시 원효로105번길 7-4,35.8427028833561,129.212258688345
붕세권카페,경상북도 영주시 중앙로 97,36.8240565393554,128.625228203889
이디야경주동국대,경상북도 경주시 석장길 59-2,35.8612356381362,129.190375017597
놀숲포항,경상북도 포항시 북구 흥해읍 초곡지구로52번길 20-7,36.0974441159693,129.337579551705
비엣문덕점,경상북도 포항시 남구 오천읍 원동로 109,35.9727964558201,129.402107283349
제이원카페,경상북도 청송군 진보면 영당로 54,36.5315043870773,129.048485400443
아틀리에빈대평점,경상북도 경산시 경안로67길 13-6,35.8357430641495,128.732353317026
더샵,경상북도 경주시 강동면 강동로 8,35.9877832707855,129.274534798219
더벤티경산중방점,경상북도 경산시 경안로38길 17,35.825840733898,128.737729633965
에제르,경상북도 포항시 북구 청하면 비학로 1889-157,36.1976227379234,129.317355317411
카페해나무,경상북도 칠곡군 지천면 지천로 1066,36.0239486708276,128.480145618541
카페비,경상북도 포항시 남구 포스코대로 334-4,36.0177426054579,129.359705174349
커피아셀,경상북도 김천시 농소면 용시길 88,36.1132842085761,128.173024409141
비에이치씨치킨경주동산점,경상북도 경주시 천북면 동산3길 23-59,35.8977023012811,129.268614019926
라떼는말이야,경상북도 예천군 은풍면 은풍로 84-2,36.7446694631541,128.44289531484
아담,경상북도 상주시 왕산로 347,36.4208605690611,128.161649420219
너와나커피,경상북도 경산시 백자로20길 44-1,35.8124363446034,128.761142011233
모리커피포항흥해점,경상북도 포항시 북구 흥해읍 중성로 27,36.108785350688,129.3460904557
카페카파이,경상북도 포항시 북구 해동로 261,36.0426766835518,129.370265328878
텐퍼센트커피경주,경상북도 경주시 안강읍 안강중앙로 219,35.9924542139782,129.224105657174
마법의숲,경상북도 경주시 강동면 인좌안길 32-27,35.9879723090283,129.264335555456
마시그레이,경상북도 경산시 청운로 25,35.8377402725339,128.753369655503
모리커피포항죽도점,경상북도 포항시 북구 중흥로 333,36.0318053560203,129.364950896958
커피드링킹,경상북도 김천시 지례면 장터길 67-3,35.9878620711448,128.029364098319
커피테이크아웃,경상북도 포항시 북구 학전로 53,36.05722723571,129.373791769892
오하다,경상북도 구미시 형곡로 15,36.1159800588937,128.33754312098
리보니,경상북도 포항시 남구 오천읍 남원로 81,35.9702430893745,129.400809322272
탐앤탐스안동신도청점,경상북도 안동시 풍천면 호수공원2길 12,36.5689433260678,128.501831287312
카페데세르,경상북도 안동시 강남10길 10,36.5483970003473,128.735958855591
레스트205,경상북도 경주시 숲머리길 205,35.8450495529274,129.257535622599
카페로사인동점,경상북도 구미시 인동중앙로3길 19,36.1079982096936,128.419168078067
레비커피,경상북도 문경시 장평길 421,36.6431442406641,128.190227855428
눈꽃이피다,경상북도 경산시 경산로 105-1,35.8180937806526,128.729623804169
데이지데이,경상북도 구미시 봉곡남로 126-1,36.1505321342095,128.315687223394
디에스엠알오카페담북,경상북도 포항시 북구 삼호로 36,36.0437593161227,129.368586230295
요거프레소,경상북도 칠곡군 왜관읍 중앙로 195,35.9924660045903,128.398969631857
엘린,경상북도 경산시 원효로40길 64,35.8139862971185,128.754041533746
카페1227,경상북도 포항시 북구 죽도로28번길 39,36.0309319929962,129.361707086634
켈티스커피,경상북도 영주시 대학로261번길 32,36.8190902588568,128.60090946463
브리즈나인,경상북도 포항시 남구 구룡포읍 용주로8번길 25,35.9921025032778,129.564502754412
모리커피포항,경상북도 포항시 남구 효성로 26,36.0062155958801,129.336469357389
포시즌,경상북도 포항시 남구 중흥로 99,36.0141768010548,129.350658598256
다온라온,경상북도 경주시 북천길 10,35.8538333473163,129.219413779183
커피쿡문경,경상북도 문경시 당교로 233,36.586144406148,128.188646298324
미뇽빅토리아,경상북도 영주시 선비로 215,36.8240693953233,128.615857116794
컴포즈커피울진북면점,경상북도 울진군 북면 울진북로 2124,37.1059280609957,129.373669266387
캔버스진량호반점,경상북도 경산시 진량읍 선항4길 27,35.8743731024539,128.809651639345
경천섬카페커피랑썸타다,경상북도 상주시 도남2길 174,36.4466147674112,128.256343400014
텐퍼센트커피경주,경상북도 경주시 백률로58번길 1,35.8565268388204,129.225743444895
수피아,경상북도 청도군 풍각면 장기길 379,35.6809686399871,128.56461744959
커피쉼,경상북도 경주시 금성로 440,35.8568244868726,129.207923388194
소디스커피문덕점,경상북도 포항시 남구 오천읍 냉천로236번길 20,35.9736612895919,129.406757047436
파스마,경상북도 경산시 한의대로 96,35.8057841532735,128.776712805928
레프트뱅크도량점,경상북도 구미시 송동로 60,36.1380081699923,128.324314983474
카페홀빈,경상북도 청도군 금천면 청려로 4540,35.7038893095607,128.902040729709
카페캔버스,경상북도 경산시 백자로 58,35.8110905897223,128.754434641099
